mes,hora,v min,v max,ancho clase,rango,limif,limsup,marca,clasemaxfrec-1
Enero,7,17.27,63.73,9.29,46.46,35.85,45.14,40.495,2
Enero,8,85.2,282.76,39.51,197.56,243.24,282.75,262.995,4
Enero,9,165.59,491.85,65.25,326.26,426.59,491.84,459.215,4
Enero,10,258.53,654.56,79.21,396.03,575.37,654.58,614.975,4
Enero,11,288.16,751.27,92.62,463.11,658.64,751.26,704.95,4
Enero,12,219.66,783.74,112.82,564.08,670.94,783.76,727.35,4
Enero,13,251.55,744.83,98.66,493.28,646.19,744.85,695.52,4
Enero,14,186.25,639.41,90.63,453.16,548.77,639.4,594.085,4
Enero,15,136.02,469.13,66.62,333.11,402.5,469.12,435.81,4
Enero,16,50,258.16,41.63,208.16,174.89,216.52,195.705,3
Enero,17,9.14,47.73,7.72,38.59,9.14,16.86,13,0
Febrero,7,40.65,166.14,25.1,125.49,65.75,90.85,78.3,1
Febrero,8,128.39,404.95,55.31,276.56,294.32,349.63,321.975,3
Febrero,9,224.12,627.36,80.65,403.24,466.07,546.72,506.395,3
Febrero,10,303.15,794.45,98.26,491.3,597.93,696.19,647.06,3
Febrero,11,488.14,900.59,82.49,412.45,735.61,818.1,776.855,3
Febrero,12,482.98,929.38,89.28,446.4,750.82,840.1,795.46,3
Febrero,13,373.54,883.27,101.95,509.73,781.34,883.29,832.315,4
Febrero,14,331.37,781.62,90.05,450.25,601.52,691.57,646.545,3
Febrero,15,229.52,608.23,75.74,378.71,456.74,532.48,494.61,3
Febrero,16,134.91,385.02,50.02,250.11,284.97,334.99,309.98,3
Febrero,17,34.8,134.49,19.94,99.69,74.68,94.62,84.65,2
Marzo,6,7.88,55.92,9.61,48.04,7.88,17.49,12.685,0
Marzo,7,105.27,295.99,38.14,190.72,219.69,257.83,238.76,3
Marzo,8,252.42,548.95,59.31,296.53,489.66,548.97,519.315,4
Marzo,9,393.88,762.22,73.67,368.34,688.56,762.23,725.395,4
Marzo,10,442.95,921.24,95.66,478.29,825.59,921.25,873.42,4
Marzo,11,458,1017.22,111.84,559.22,905.36,1017.2,961.28,4
Marzo,12,431.52,1039.92,121.68,608.4,918.24,1039.92,979.08,4
Marzo,13,355.68,985.91,126.05,630.23,859.88,985.93,922.905,4
Marzo,14,340.49,864.86,104.87,524.37,759.97,864.84,812.405,4
Marzo,15,179.13,685.45,101.26,506.32,584.17,685.43,634.8,4
Marzo,16,77.66,455.45,75.56,377.79,379.9,455.46,417.68,4
Marzo,17,49.67,203.57,30.78,153.9,172.79,203.57,188.18,4
Marzo,18,6.01,15.39,1.88,9.38,7.89,9.77,8.83,1
Abril,5,6.23,8.66,0.81,2.43,7.85,8.66,8.255,2
Abril,6,39.78,161.35,24.31,121.57,88.4,112.71,100.555,2
Abril,7,247.14,407.95,32.16,160.81,311.46,343.62,327.54,2
Abril,8,392.71,640.88,49.63,248.17,541.6,591.23,566.415,3
Abril,9,545.5,840.1,58.92,294.6,722.26,781.18,751.72,3
Abril,10,548.73,977.45,85.74,428.72,891.69,977.43,934.56,4
Abril,11,683.63,1061.68,75.61,378.05,986.07,1061.68,1023.875,4
Abril,12,647.43,1072.66,85.05,425.23,987.63,1072.68,1030.155,4
Abril,13,589.76,1016.85,85.42,427.09,931.44,1016.86,974.15,4
Abril,14,513.32,907.62,78.86,394.3,828.76,907.62,868.19,4
Abril,15,397.68,729.79,66.42,332.11,663.36,729.78,696.57,4
Abril,16,260.06,508.37,49.66,248.31,458.7,508.36,483.53,4
Abril,17,117.03,258.59,28.31,141.56,201.96,230.27,216.115,3
Abril,18,11.02,39.9,5.78,28.88,16.8,22.58,19.69,1
Mayo,5,9.46,28.16,3.74,18.7,13.2,16.94,15.07,1
Mayo,6,130.98,224.08,18.62,93.1,186.84,205.46,196.15,3
Mayo,7,295.52,464.16,33.73,168.64,430.44,464.17,447.305,4
Mayo,8,439.34,686.05,49.34,246.71,636.7,686.04,661.37,4
Mayo,9,562.09,874.92,62.57,312.83,812.37,874.94,843.655,4
Mayo,10,523.25,1012.6,97.87,489.35,914.73,1012.6,963.665,4
Mayo,11,665.98,1070.18,80.84,404.2,989.34,1070.18,1029.76,4
Mayo,12,655.06,1073.94,83.78,418.88,990.18,1073.96,1032.07,4
Mayo,13,693.58,1038.2,68.92,344.62,969.26,1038.18,1003.72,4
Mayo,14,619.83,928.98,61.83,309.15,867.15,928.98,898.065,4
Mayo,15,356.68,759.8,80.62,403.12,679.16,759.78,719.47,4
Mayo,16,298.92,554.7,51.16,255.78,503.56,554.72,529.14,4
Mayo,17,160.02,323.3,32.66,163.28,258,290.66,274.33,3
Mayo,18,33.26,90.94,11.54,57.68,44.8,56.34,50.57,1
Junio,5,13.45,26.79,2.67,13.34,21.46,24.13,22.795,3
Junio,6,53.33,217.97,32.93,164.64,185.05,217.98,201.515,4
Junio,7,143.41,452.98,61.91,309.57,391.05,452.96,422.005,4
Junio,8,275.51,668.76,78.65,393.25,590.11,668.76,629.435,4
Junio,9,434.68,845.63,82.19,410.95,763.44,845.63,804.535,4
Junio,10,477.16,975.85,99.74,498.69,876.12,975.86,925.99,4
Junio,11,527.17,1026.24,99.81,499.07,926.41,1026.22,976.315,4
Junio,12,523.21,1038.23,103,515.02,935.21,1038.21,986.71,4
Junio,13,443.52,1012.27,113.75,568.75,898.52,1012.27,955.395,4
Junio,14,293.45,905.95,122.5,612.5,783.45,905.95,844.7,4
Junio,15,165.41,748.53,116.62,583.12,631.89,748.51,690.2,4
Junio,16,70.01,549.73,95.94,479.72,453.77,549.71,501.74,4
Junio,17,43.24,322.66,55.88,279.42,266.76,322.64,294.7,4
Junio,18,20.78,112.79,18.4,92.01,39.18,57.58,48.38,1
Julio,5,6.27,17.68,2.28,11.41,8.55,10.83,9.69,1
Julio,6,71.05,169.46,19.68,98.41,130.09,149.77,139.93,3
Julio,7,195.44,386.91,38.29,191.47,310.31,348.6,329.455,3
Julio,8,323.85,598.38,54.91,274.53,543.49,598.4,570.945,4
Julio,9,441.84,779.59,67.55,337.75,712.04,779.59,745.815,4
Julio,10,493.76,898.39,80.93,404.63,817.48,898.41,857.945,4
Julio,11,177.95,965.11,157.43,787.16,807.67,965.1,886.385,4
Julio,12,322.35,977.66,131.06,655.31,846.59,977.65,912.12,4
Julio,13,229.11,950.42,144.26,721.31,806.15,950.41,878.28,4
Julio,14,131.45,844.5,142.61,713.05,701.89,844.5,773.195,4
Julio,15,79.36,693.91,122.91,614.55,571,693.91,632.455,4
Julio,16,56.02,516.17,92.03,460.15,332.11,424.14,378.125,3
Julio,17,39.31,308.38,53.81,269.07,39.31,93.12,66.215,0
Julio,18,20.48,99.35,15.77,78.87,20.48,36.25,28.365,0
Agosto,5,5.84,7.81,0.66,1.97,7.16,7.82,7.49,2
Agosto,6,38.03,138.08,20.01,100.05,78.05,98.06,88.055,2
Agosto,7,139.33,357.97,43.73,218.64,270.52,314.25,292.385,3
Agosto,8,254.49,574.56,64.01,320.07,510.53,574.54,542.535,4
Agosto,9,362.69,758.21,79.1,395.52,679.09,758.19,718.64,4
Agosto,10,482.55,903.89,84.27,421.34,819.63,903.9,861.765,4
Agosto,11,543.98,954.93,82.19,410.95,872.74,954.93,913.835,4
Agosto,12,366.82,969.2,120.48,602.38,848.74,969.22,908.98,4
Agosto,13,362.27,893.64,106.27,531.37,787.35,893.62,840.485,4
Agosto,14,203.14,825.1,124.39,621.96,700.7,825.09,762.895,4
Agosto,15,130.67,676.12,109.09,545.45,348.85,457.94,403.395,2
Agosto,16,65.8,478.47,82.53,412.67,230.86,313.39,272.125,2
Agosto,17,33.09,256.34,44.65,223.25,33.09,77.74,55.415,0
Agosto,18,10.51,55.8,9.06,45.29,10.51,19.57,15.04,0
Septiembre,6,19.45,72.42,10.59,52.97,51.22,61.81,56.515,3
Septiembre,7,84.49,295.05,42.11,210.56,252.93,295.04,273.985,4
Septiembre,8,197.09,522.05,64.99,324.96,457.05,522.04,489.545,4
Septiembre,9,263.59,715.63,90.41,452.04,625.23,715.64,670.435,4
Septiembre,10,406.88,865.37,91.7,458.49,773.68,865.38,819.53,4
Septiembre,11,420.59,945.07,104.9,524.48,840.19,945.09,892.64,4
Septiembre,12,409.02,957.9,109.78,548.88,848.14,957.92,903.03,4
Septiembre,13,471.25,903.91,86.53,432.66,730.84,817.37,774.105,3
Septiembre,14,201.02,773.41,114.48,572.39,544.46,658.94,601.7,3
Septiembre,15,143.81,601.82,91.6,458.01,327.01,418.61,372.81,2
Septiembre,16,56.38,389.78,66.68,333.4,189.74,256.42,223.08,2
Septiembre,17,22.78,151.81,25.81,129.03,48.59,74.4,61.495,1
Septiembre,18,6.54,14.71,2.04,8.17,6.54,8.58,7.56,0
Octubre,6,14.9,50.03,7.03,35.13,21.93,28.96,25.445,1
Octubre,7,147.7,269.97,24.45,122.27,196.6,221.05,208.825,2
Octubre,8,309.04,506.52,39.5,197.48,388.04,427.54,407.79,2
Octubre,9,469.63,696.84,45.44,227.21,605.95,651.39,628.67,3
Octubre,10,528.99,831.66,60.53,302.67,710.58,771.11,740.845,3
Octubre,11,631.95,906.99,55.01,275.04,796.98,851.99,824.485,3
Octubre,12,664.81,910.41,49.12,245.6,763.05,812.17,787.61,2
Octubre,13,586.98,830.29,48.66,243.31,732.96,781.62,757.29,3
Octubre,14,418.79,707.68,57.78,288.89,534.35,592.13,563.24,2
Octubre,15,284.58,524.71,48.03,240.13,380.64,428.67,404.655,2
Octubre,16,126.52,302.38,35.17,175.86,161.69,196.86,179.275,1
Octubre,17,10.09,64.93,10.97,54.84,10.09,21.06,15.575,0
Noviembre,6,8.12,14.17,1.51,6.05,8.12,9.63,8.875,0
Noviembre,7,18.88,189.76,34.18,170.88,155.6,189.78,172.69,4
Noviembre,8,75.84,410.21,66.87,334.37,343.32,410.19,376.755,4
Noviembre,9,135.24,598.08,92.57,462.84,505.52,598.09,551.805,4
Noviembre,10,135.82,729.77,118.79,593.95,610.98,729.77,670.375,4
Noviembre,11,208.43,797.3,117.77,588.87,679.51,797.28,738.395,4
Noviembre,12,172.23,792.43,124.04,620.2,668.39,792.43,730.41,4
Noviembre,13,116.62,720.68,120.81,604.06,599.86,720.67,660.265,4
Noviembre,14,90.34,583.74,98.68,493.4,485.06,583.74,534.4,4
Noviembre,15,38.88,391.97,70.62,353.09,321.36,391.98,356.67,4
Noviembre,16,37.83,167.56,25.95,129.73,141.63,167.58,154.605,4
Noviembre,17,7.21,10.45,0.81,3.24,8.83,9.64,9.235,2
Diciembre,7,29.72,94.51,12.96,64.79,55.64,68.6,62.12,2
Diciembre,8,93.84,316.62,44.56,222.78,227.52,272.08,249.8,3
Diciembre,9,113.21,504.14,78.19,390.93,425.97,504.16,465.065,4
Diciembre,10,210.57,643.01,86.49,432.44,556.53,643.02,599.775,4
Diciembre,11,196.64,718.09,104.29,521.45,613.8,718.09,665.945,4
Diciembre,12,183.43,718.68,107.05,535.25,611.63,718.68,665.155,4
Diciembre,13,160.12,652.65,98.51,492.53,554.16,652.67,603.415,4
Diciembre,14,96.7,528.06,86.27,431.36,441.78,528.05,484.915,4
Diciembre,15,77.7,357.24,55.91,279.54,301.34,357.25,329.295,4
Diciembre,16,59.7,154.48,18.96,94.78,116.58,135.54,126.06,3
Diciembre,17,6.7,9.68,0.99,2.98,6.7,7.69,7.195,0
